sampleSize,rateMale,rateFemale,medianAge,medianIncome,rentShareOfIncome,degreeRate,rateNeverMarried,Boba_shop_cnt,university_college_count,log_median
27272,47.7,52.3,36.3,89337,31.7,45.7,55.3,0,0,11.40017101475869
37965,46.2,53.8,34.8,80539,33.9,52.2,62.2,1,0,11.296496818137651
67640,50.2,49.8,30.7,35424,43.5,4.3,56.7,0,0,10.475144835508363
28580,53.6,46.4,33.9,47116,35.9,24.7,68.6,0,0,10.760367925078675
29510,50.1,49.9,39.2,90538,28.1,39.6,59.3,0,0,11.413524931061852
12328,48.5,51.5,35.3,47120,34.4,6.3,55.6,0,0,10.760452818325469
29090,47.9,52.1,38.8,85971,28.5,32.8,56.8,2,0,11.361765309065477
63193,49.3,50.7,35.8,64267,30.7,23.5,60.1,0,0,11.070801559199014
45873,48.4,51.6,40.1,54729,41.7,18.6,58.5,0,0,10.91014901245633
99443,47.2,52.8,31.6,35981,43.3,4.8,55.7,0,0,10.490746300336754
40567,47.3,52.7,35.1,104578,30.5,40.8,60.8,0,0,11.557688483443744
50900,54.5,45.5,38.2,72266,31.7,53.2,72.1,1,0,11.188109034744716
51411,44.6,55.4,38.4,52605,42.1,10.5,55.6,0,1,10.870566451242388
21489,45.2,54.8,37.7,100586,30.3,58.6,64.9,4,0,11.518768361953487
36418,45.9,54.1,40.6,129688,29.2,59.3,56.2,0,0,11.772886844821409
7649,38.7,61.3,49.3,92656,34.3,39.5,53,0,0,11.43664898946557
50152,54.5,45.5,33.5,37700,33.2,13.7,63.4,1,1,10.537415373436103
2718,41.9,58.1,22.7,21964,32.4,2.7,52.4,0,0,9.997160028398763
46185,47.4,52.6,27.7,44838,40.7,4.2,52.7,0,1,10.710811273158345
27873,47.5,52.5,31.2,42500,43.1,4.6,55.4,0,0,10.657259354912508
35916,47.9,52.1,34.6,49443,42.5,8.7,59.3,0,0,10.808575769902289
53980,49.3,50.7,31.9,48559,33.3,6.4,54.9,0,0,10.790534832440615
25925,49.5,50.5,40.3,102117,29.8,50,56,4,0,11.533874493720612
46461,50,50,37.2,67479,33.7,25.6,58.2,0,0,11.119571717344408
59167,50.4,49.6,38.1,83899,30.3,42,59.8,1,0,11.337368973433135
2428,46,54,66.4,118393,51,61.9,50.9,2,0,11.681764878062669
21092,51.2,48.8,42.5,88535,33.5,55.3,64,0,1,11.391153233040317
20230,58.7,41.3,42.9,93380,26.7,60.7,75.3,2,0,11.444432468524928
126,67.5,32.5,41.3,61875,25.5,40.5,92.9,0,1,11.032871499870991
953,90,10,56,0,0,9.8,94.8,0,0,-Inf
8382,48.8,51.2,48.5,209531,22.6,56.9,48.9,0,0,12.252626978758029
0,0,0,0,0,0,0,0,0,0,-Inf
3786,48,52,19.1,0,0,0.4,99.9,0,0,-Inf
0,0,0,0,0,0,0,0,0,0,-Inf
9827,46.7,53.3,36.2,155417,27.6,59.6,50.8,0,0,11.953867106041871
0,0,0,0,0,0,0,0,0,0,-Inf
101965,50.5,49.5,29.8,44046,37.3,3.8,55.8,0,0,10.692989821338836
19314,48.6,51.4,49.2,147270,28.4,49.2,48.4,0,0,11.900022915720207
8019,45.9,54.1,42.2,86437,32.5,47.9,57.2,0,0,11.367171103863992
13314,48.7,51.3,41.1,95080,31.8,46.6,50,0,0,11.46247392147413
52817,46.8,53.2,31.7,57074,35.2,6.3,53.4,0,0,10.952103950438548
51688,50.9,49.1,31,51377,38.3,3.6,55.7,0,0,10.846945880481194
33200,49.5,50.5,29.1,49894,42.5,5.1,52.9,0,0,10.817656034029183
32687,47.2,52.8,40.4,85524,30.7,37.4,53.6,1,2,11.356552317289871
14780,47.7,52.3,40.4,90467,28,45.4,58.8,3,0,11.412740422306387
26413,49.4,50.6,38.2,86383,30.3,17.7,51.3,0,0,11.366546176173244
43215,50.1,49.9,36,72715,29,16.1,55.7,0,0,11.19430296961181
42694,47,53,34.1,71233,34.9,13.7,54.8,0,0,11.173711473170998
16731,49.4,50.6,37.3,109577,26.1,41,51.3,0,0,11.60438277745902
48293,49,51,38,55561,35.3,15.8,54.5,4,0,10.925236795266423
11607,47.9,52.1,43,61448,36.7,19.9,55,2,0,11.025946567678519
26429,48.6,51.4,41.2,60669,33.8,17.3,56,3,0,11.013188138189658
97072,49,51,33.5,56304,33.2,14.6,54.4,1,0,10.938520859561367
19539,53.7,46.3,39.3,136702,22.3,59.6,58.8,0,0,11.825558653182924
75019,49.9,50.1,32.6,44962,34.9,4.3,56.4,0,0,10.713572967563955
34827,51.1,48.9,35.9,65340,33.3,15.4,54.6,0,0,11.08735968515506
70536,48.8,51.2,30,52313,36.8,4.6,54.8,0,0,10.865000185131196
1838,41.9,58.1,19.8,0,0,1.7,98.9,0,1,-Inf
17954,49.8,50.2,50.9,152378,27.1,49.8,54,0,0,11.934119554858833
35500,48.3,51.7,44,153023,24.9,52.3,48.1,0,0,11.938343515874017
27287,49.5,50.5,30.1,44124,35.9,3.4,54.9,0,0,10.694759131089272
21629,48.2,51.8,47.7,192500,23.9,56.4,46.2,0,0,12.167851432709975
25061,48.6,51.4,51.7,169919,31.9,53.2,48.4,0,0,12.043077131895982
42146,48,52,50,138293,35.2,49.9,48.5,0,1,11.837129901765959
34827,49,51,43.6,106185,26.9,48.1,53.2,0,0,11.572938134876399
40252,51,49,39.7,116783,28.2,41.9,50.8,0,0,11.668072790837929
94642,49.5,50.5,31.9,52321,34,5.8,55.5,1,0,10.865153099098274
5681,49,51,45.5,129772,24.2,52.6,57.2,0,0,11.773534343495076
26950,51.4,48.6,38.5,99652,28.8,54.3,64.9,0,0,11.509439395685396
23549,52.1,47.9,39.6,114726,31.4,58.8,62.5,0,0,11.650301955721014
12728,49.3,50.7,37.9,105865,26,60.9,63.5,0,0,11.569919976490036
38234,50,50,35.4,47464,34.2,9.3,57.3,0,1,10.767726807938478
30017,46.6,53.4,34.9,51850,37.1,19.3,56.5,0,0,10.856110213657674
